dataset,task,model,fold_index,score
bank_marketing,classification,RandomForest,0,0.8036
bank_marketing,classification,RandomForest,1,0.7936
bank_marketing,classification,RandomForest,2,0.7971
bank_marketing,classification,RandomForest,3,0.8
bank_marketing,classification,RandomForest,4,0.8029
bank_marketing,classification,GBT,0,0.8043
bank_marketing,classification,GBT,1,0.7936
bank_marketing,classification,GBT,2,0.8014
bank_marketing,classification,GBT,3,0.8043
bank_marketing,classification,GBT,4,0.8
bank_marketing,classification,XGBoost,0,0.8079
bank_marketing,classification,XGBoost,1,0.7871
bank_marketing,classification,XGBoost,2,0.7971
bank_marketing,classification,XGBoost,3,0.8021
bank_marketing,classification,XGBoost,4,0.8014
bank_marketing,classification,MLP,0,0.7993
bank_marketing,classification,MLP,1,0.7857
bank_marketing,classification,MLP,2,0.775
bank_marketing,classification,MLP,3,0.7793
bank_marketing,classification,MLP,4,0.79
california,regression,RandomForest,0,0.8198
california,regression,RandomForest,1,0.8158
california,regression,RandomForest,2,0.8137
california,regression,RandomForest,3,0.8132
california,regression,RandomForest,4,0.8236
california,regression,GBT,0,0.8425
california,regression,GBT,1,0.8346
california,regression,GBT,2,0.8329
california,regression,GBT,3,0.8342
california,regression,GBT,4,0.8393
california,regression,XGBoost,0,0.8393
california,regression,XGBoost,1,0.843
california,regression,XGBoost,2,0.8328
california,regression,XGBoost,3,0.8368
california,regression,XGBoost,4,0.8406
california,regression,MLP,0,0.7692
california,regression,MLP,1,0.7509
california,regression,MLP,2,0.7653
california,regression,MLP,3,0.7783
california,regression,MLP,4,0.7805
magic_telescope,classification,RandomForest,0,0.8571
magic_telescope,classification,RandomForest,1,0.8336
magic_telescope,classification,RandomForest,2,0.8464
magic_telescope,classification,RandomForest,3,0.8543
magic_telescope,classification,RandomForest,4,0.855
magic_telescope,classification,GBT,0,0.845
magic_telescope,classification,GBT,1,0.8314
magic_telescope,classification,GBT,2,0.84
magic_telescope,classification,GBT,3,0.8536
magic_telescope,classification,GBT,4,0.8543
magic_telescope,classification,XGBoost,0,0.8507
magic_telescope,classification,XGBoost,1,0.8407
magic_telescope,classification,XGBoost,2,0.8386
magic_telescope,classification,XGBoost,3,0.8586
magic_telescope,classification,XGBoost,4,0.8579
magic_telescope,classification,MLP,0,0.8643
magic_telescope,classification,MLP,1,0.83
magic_telescope,classification,MLP,2,0.8421
magic_telescope,classification,MLP,3,0.8479
magic_telescope,classification,MLP,4,0.8507
electricity,classification,RandomForest,0,0.8364
electricity,classification,RandomForest,1,0.82
electricity,classification,RandomForest,2,0.8593
electricity,classification,RandomForest,3,0.8357
electricity,classification,RandomForest,4,0.8429
electricity,classification,GBT,0,0.8507
electricity,classification,GBT,1,0.8357
electricity,classification,GBT,2,0.8721
electricity,classification,GBT,3,0.8521
electricity,classification,GBT,4,0.8536
electricity,classification,XGBoost,0,0.8357
electricity,classification,XGBoost,1,0.825
electricity,classification,XGBoost,2,0.8443
electricity,classification,XGBoost,3,0.8379
electricity,classification,XGBoost,4,0.8371
electricity,classification,MLP,0,0.7757
electricity,classification,MLP,1,0.7664
electricity,classification,MLP,2,0.7993
electricity,classification,MLP,3,0.7943
electricity,classification,MLP,4,0.8071
house_16H,classification,RandomForest,0,0.8693
house_16H,classification,RandomForest,1,0.8936
house_16H,classification,RandomForest,2,0.8879
house_16H,classification,RandomForest,3,0.8693
house_16H,classification,RandomForest,4,0.8693
house_16H,classification,GBT,0,0.8693
house_16H,classification,GBT,1,0.8814
house_16H,classification,GBT,2,0.88
house_16H,classification,GBT,3,0.8693
house_16H,classification,GBT,4,0.8671
house_16H,classification,XGBoost,0,0.8793
house_16H,classification,XGBoost,1,0.895
house_16H,classification,XGBoost,2,0.89
house_16H,classification,XGBoost,3,0.8771
house_16H,classification,XGBoost,4,0.8736
house_16H,classification,MLP,0,0.8657
house_16H,classification,MLP,1,0.885
house_16H,classification,MLP,2,0.8836
house_16H,classification,MLP,3,0.8714
house_16H,classification,MLP,4,0.8571
credit,classification,RandomForest,0,0.7771
credit,classification,RandomForest,1,0.7643
credit,classification,RandomForest,2,0.7814
credit,classification,RandomForest,3,0.7686
credit,classification,RandomForest,4,0.7657
credit,classification,GBT,0,0.7779
credit,classification,GBT,1,0.7664
credit,classification,GBT,2,0.7764
credit,classification,GBT,3,0.7757
credit,classification,GBT,4,0.7821
credit,classification,XGBoost,0,0.7807
credit,classification,XGBoost,1,0.7657
credit,classification,XGBoost,2,0.7814
credit,classification,XGBoost,3,0.7657
credit,classification,XGBoost,4,0.7779
credit,classification,MLP,0,0.7793
credit,classification,MLP,1,0.7707
credit,classification,MLP,2,0.7607
credit,classification,MLP,3,0.7636
credit,classification,MLP,4,0.775
phoneme,classification,RandomForest,0,0.8468
phoneme,classification,RandomForest,1,0.8964
phoneme,classification,RandomForest,2,0.8536
phoneme,classification,RandomForest,3,0.8581
phoneme,classification,RandomForest,4,0.8694
phoneme,classification,GBT,0,0.8468
phoneme,classification,GBT,1,0.8874
phoneme,classification,GBT,2,0.8581
phoneme,classification,GBT,3,0.8626
phoneme,classification,GBT,4,0.8694
phoneme,classification,XGBoost,0,0.8514
phoneme,classification,XGBoost,1,0.8604
phoneme,classification,XGBoost,2,0.8514
phoneme,classification,XGBoost,3,0.8581
phoneme,classification,XGBoost,4,0.8739
phoneme,classification,MLP,0,0.8423
phoneme,classification,MLP,1,0.8581
phoneme,classification,MLP,2,0.8153
phoneme,classification,MLP,3,0.8446
phoneme,classification,MLP,4,0.8086
wine,classification,RandomForest,0,0.8017
wine,classification,RandomForest,1,0.8073
wine,classification,RandomForest,2,0.7815
wine,classification,RandomForest,3,0.8039
wine,classification,RandomForest,4,0.8095
wine,classification,GBT,0,0.7989
wine,classification,GBT,1,0.8073
wine,classification,GBT,2,0.7899
wine,classification,GBT,3,0.8039
wine,classification,GBT,4,0.7955
wine,classification,XGBoost,0,0.8073
wine,classification,XGBoost,1,0.7877
wine,classification,XGBoost,2,0.7759
wine,classification,XGBoost,3,0.7619
wine,classification,XGBoost,4,0.7843
wine,classification,MLP,0,0.7821
wine,classification,MLP,1,0.7793
wine,classification,MLP,2,0.7731
wine,classification,MLP,3,0.7703
wine,classification,MLP,4,0.7451
cpu_act,regression,RandomForest,0,0.9807
cpu_act,regression,RandomForest,1,0.982
cpu_act,regression,RandomForest,2,0.9875
cpu_act,regression,RandomForest,3,0.9829
cpu_act,regression,RandomForest,4,0.9818
cpu_act,regression,GBT,0,0.975
cpu_act,regression,GBT,1,0.9816
cpu_act,regression,GBT,2,0.9868
cpu_act,regression,GBT,3,0.9827
cpu_act,regression,GBT,4,0.9838
cpu_act,regression,XGBoost,0,0.9848
cpu_act,regression,XGBoost,1,0.9852
cpu_act,regression,XGBoost,2,0.989
cpu_act,regression,XGBoost,3,0.9849
cpu_act,regression,XGBoost,4,0.9847
cpu_act,regression,MLP,0,0.9801
cpu_act,regression,MLP,1,0.9718
cpu_act,regression,MLP,2,0.9796
cpu_act,regression,MLP,3,0.9739
cpu_act,regression,MLP,4,0.9787
elevators,regression,RandomForest,0,0.8098
elevators,regression,RandomForest,1,0.7829
elevators,regression,RandomForest,2,0.7867
elevators,regression,RandomForest,3,0.783
elevators,regression,RandomForest,4,0.8171
elevators,regression,GBT,0,0.8787
elevators,regression,GBT,1,0.8682
elevators,regression,GBT,2,0.8718
elevators,regression,GBT,3,0.8775
elevators,regression,GBT,4,0.8896
elevators,regression,XGBoost,0,0.8923
elevators,regression,XGBoost,1,0.8811
elevators,regression,XGBoost,2,0.8859
elevators,regression,XGBoost,3,0.8886
elevators,regression,XGBoost,4,0.8954
elevators,regression,MLP,0,0.8977
elevators,regression,MLP,1,0.9008
elevators,regression,MLP,2,0.9038
elevators,regression,MLP,3,0.8631
elevators,regression,MLP,4,0.9033
wine_quality,regression,RandomForest,0,0.4672
wine_quality,regression,RandomForest,1,0.502
wine_quality,regression,RandomForest,2,0.4829
wine_quality,regression,RandomForest,3,0.4823
wine_quality,regression,RandomForest,4,0.4563
wine_quality,regression,GBT,0,0.4704
wine_quality,regression,GBT,1,0.5092
wine_quality,regression,GBT,2,0.483
wine_quality,regression,GBT,3,0.4973
wine_quality,regression,GBT,4,0.4786
wine_quality,regression,XGBoost,0,0.4352
wine_quality,regression,XGBoost,1,0.4999
wine_quality,regression,XGBoost,2,0.4498
wine_quality,regression,XGBoost,3,0.4955
wine_quality,regression,XGBoost,4,0.455
wine_quality,regression,MLP,0,0.3756
wine_quality,regression,MLP,1,0.3888
wine_quality,regression,MLP,2,0.3583
wine_quality,regression,MLP,3,0.4124
wine_quality,regression,MLP,4,0.3748
diamonds,regression,RandomForest,0,0.9415
diamonds,regression,RandomForest,1,0.9464
diamonds,regression,RandomForest,2,0.9427
diamonds,regression,RandomForest,3,0.9455
diamonds,regression,RandomForest,4,0.9445
diamonds,regression,GBT,0,0.942
diamonds,regression,GBT,1,0.9469
diamonds,regression,GBT,2,0.9452
diamonds,regression,GBT,3,0.9454
diamonds,regression,GBT,4,0.9455
diamonds,regression,XGBoost,0,0.9426
diamonds,regression,XGBoost,1,0.9469
diamonds,regression,XGBoost,2,0.9452
diamonds,regression,XGBoost,3,0.9466
diamonds,regression,XGBoost,4,0.9453
diamonds,regression,MLP,0,0.9384
diamonds,regression,MLP,1,0.9447
diamonds,regression,MLP,2,0.9407
diamonds,regression,MLP,3,0.9417
diamonds,regression,MLP,4,0.9388
isolet,regression,RandomForest,0,0.8204
isolet,regression,RandomForest,1,0.8172
isolet,regression,RandomForest,2,0.8115
isolet,regression,RandomForest,3,0.8345
isolet,regression,RandomForest,4,0.8005
isolet,regression,GBT,0,0.8169
isolet,regression,GBT,1,0.8021
isolet,regression,GBT,2,0.7964
isolet,regression,GBT,3,0.8256
isolet,regression,GBT,4,0.8022
isolet,regression,XGBoost,0,0.8453
isolet,regression,XGBoost,1,0.8487
isolet,regression,XGBoost,2,0.8451
isolet,regression,XGBoost,3,0.857
isolet,regression,XGBoost,4,0.834
isolet,regression,MLP,0,0.8223
isolet,regression,MLP,1,0.8096
isolet,regression,MLP,2,0.8014
isolet,regression,MLP,3,0.8363
isolet,regression,MLP,4,0.8012
pol,classification,RandomForest,0,0.9686
pol,classification,RandomForest,1,0.975
pol,classification,RandomForest,2,0.97
pol,classification,RandomForest,3,0.9686
pol,classification,RandomForest,4,0.9721
pol,classification,GBT,0,0.9836
pol,classification,GBT,1,0.9864
pol,classification,GBT,2,0.9807
pol,classification,GBT,3,0.9771
pol,classification,GBT,4,0.9829
pol,classification,XGBoost,0,0.98
pol,classification,XGBoost,1,0.9843
pol,classification,XGBoost,2,0.9843
pol,classification,XGBoost,3,0.9793
pol,classification,XGBoost,4,0.9843
pol,classification,MLP,0,0.9464
pol,classification,MLP,1,0.9493
pol,classification,MLP,2,0.9371
pol,classification,MLP,3,0.9414
pol,classification,MLP,4,0.9514
kdd_ipums_la_97-small,classification,RandomForest,0,0.8831
kdd_ipums_la_97-small,classification,RandomForest,1,0.8705
kdd_ipums_la_97-small,classification,RandomForest,2,0.8871
kdd_ipums_la_97-small,classification,RandomForest,3,0.8623
kdd_ipums_la_97-small,classification,RandomForest,4,0.8788
kdd_ipums_la_97-small,classification,GBT,0,0.8913
kdd_ipums_la_97-small,classification,GBT,1,0.8788
kdd_ipums_la_97-small,classification,GBT,2,0.905
kdd_ipums_la_97-small,classification,GBT,3,0.8733
kdd_ipums_la_97-small,classification,GBT,4,0.8981
kdd_ipums_la_97-small,classification,XGBoost,0,0.8955
kdd_ipums_la_97-small,classification,XGBoost,1,0.8815
kdd_ipums_la_97-small,classification,XGBoost,2,0.9118
kdd_ipums_la_97-small,classification,XGBoost,3,0.8678
kdd_ipums_la_97-small,classification,XGBoost,4,0.8898
kdd_ipums_la_97-small,classification,MLP,0,0.8845
kdd_ipums_la_97-small,classification,MLP,1,0.8843
kdd_ipums_la_97-small,classification,MLP,2,0.8871
kdd_ipums_la_97-small,classification,MLP,3,0.8802
kdd_ipums_la_97-small,classification,MLP,4,0.8871
eye_movements,classification,RandomForest,0,0.6047
eye_movements,classification,RandomForest,1,0.631
eye_movements,classification,RandomForest,2,0.6075
eye_movements,classification,RandomForest,3,0.6019
eye_movements,classification,RandomForest,4,0.5944
eye_movements,classification,GBT,0,0.6592
eye_movements,classification,GBT,1,0.6423
eye_movements,classification,GBT,2,0.6432
eye_movements,classification,GBT,3,0.6507
eye_movements,classification,GBT,4,0.6479
eye_movements,classification,XGBoost,0,0.6385
eye_movements,classification,XGBoost,1,0.6216
eye_movements,classification,XGBoost,2,0.6197
eye_movements,classification,XGBoost,3,0.5925
eye_movements,classification,XGBoost,4,0.6009
eye_movements,classification,MLP,0,0.5915
eye_movements,classification,MLP,1,0.5878
eye_movements,classification,MLP,2,0.5793
eye_movements,classification,MLP,3,0.5681
eye_movements,classification,MLP,4,0.5878
jannis,classification,RandomForest,0,0.7857
jannis,classification,RandomForest,1,0.7679
jannis,classification,RandomForest,2,0.7636
jannis,classification,RandomForest,3,0.7757
jannis,classification,RandomForest,4,0.775
jannis,classification,GBT,0,0.7957
jannis,classification,GBT,1,0.7629
jannis,classification,GBT,2,0.7679
jannis,classification,GBT,3,0.7886
jannis,classification,GBT,4,0.785
jannis,classification,XGBoost,0,0.7864
jannis,classification,XGBoost,1,0.7571
jannis,classification,XGBoost,2,0.7629
jannis,classification,XGBoost,3,0.7821
jannis,classification,XGBoost,4,0.7771
jannis,classification,MLP,0,0.7221
jannis,classification,MLP,1,0.7336
jannis,classification,MLP,2,0.7014
jannis,classification,MLP,3,0.7407
jannis,classification,MLP,4,0.7429
Ailerons,regression,RandomForest,0,0.8132
Ailerons,regression,RandomForest,1,0.837
Ailerons,regression,RandomForest,2,0.8354
Ailerons,regression,RandomForest,3,0.8212
Ailerons,regression,RandomForest,4,0.8411
Ailerons,regression,GBT,0,0.8353
Ailerons,regression,GBT,1,0.8508
Ailerons,regression,GBT,2,0.8449
Ailerons,regression,GBT,3,0.837
Ailerons,regression,GBT,4,0.8584
Ailerons,regression,XGBoost,0,0.814
Ailerons,regression,XGBoost,1,0.8338
Ailerons,regression,XGBoost,2,0.8286
Ailerons,regression,XGBoost,3,0.8252
Ailerons,regression,XGBoost,4,0.8433
