dataset,task,model,fold_index,score
pol,classification,RandomForest,0,0.9686
pol,classification,RandomForest,1,0.975
pol,classification,RandomForest,2,0.97
pol,classification,RandomForest,3,0.9686
pol,classification,RandomForest,4,0.9721
pol,classification,GBT,0,0.9836
pol,classification,GBT,1,0.9864
pol,classification,GBT,2,0.9807
pol,classification,GBT,3,0.9771
pol,classification,GBT,4,0.9829
pol,classification,XGBoost,0,0.98
pol,classification,XGBoost,1,0.9843
pol,classification,XGBoost,2,0.9843
pol,classification,XGBoost,3,0.9793
pol,classification,XGBoost,4,0.9843
pol,classification,MLP,0,0.9464
pol,classification,MLP,1,0.9493
pol,classification,MLP,2,0.9371
pol,classification,MLP,3,0.9414
pol,classification,MLP,4,0.9514
kdd_ipums_la_97-small,classification,RandomForest,0,0.8831
kdd_ipums_la_97-small,classification,RandomForest,1,0.8705
kdd_ipums_la_97-small,classification,RandomForest,2,0.8871
kdd_ipums_la_97-small,classification,RandomForest,3,0.8623
kdd_ipums_la_97-small,classification,RandomForest,4,0.8788
kdd_ipums_la_97-small,classification,GBT,0,0.8913
kdd_ipums_la_97-small,classification,GBT,1,0.8788
kdd_ipums_la_97-small,classification,GBT,2,0.905
kdd_ipums_la_97-small,classification,GBT,3,0.8733
kdd_ipums_la_97-small,classification,GBT,4,0.8981
kdd_ipums_la_97-small,classification,XGBoost,0,0.8955
kdd_ipums_la_97-small,classification,XGBoost,1,0.8815
kdd_ipums_la_97-small,classification,XGBoost,2,0.9118
kdd_ipums_la_97-small,classification,XGBoost,3,0.8678
kdd_ipums_la_97-small,classification,XGBoost,4,0.8898
kdd_ipums_la_97-small,classification,MLP,0,0.8845
kdd_ipums_la_97-small,classification,MLP,1,0.8843
kdd_ipums_la_97-small,classification,MLP,2,0.8871
kdd_ipums_la_97-small,classification,MLP,3,0.8802
kdd_ipums_la_97-small,classification,MLP,4,0.8871
eye_movements,classification,RandomForest,0,0.6047
eye_movements,classification,RandomForest,1,0.631
eye_movements,classification,RandomForest,2,0.6075
eye_movements,classification,RandomForest,3,0.6019
eye_movements,classification,RandomForest,4,0.5944
eye_movements,classification,GBT,0,0.6592
eye_movements,classification,GBT,1,0.6423
eye_movements,classification,GBT,2,0.6432
eye_movements,classification,GBT,3,0.6507
eye_movements,classification,GBT,4,0.6479
eye_movements,classification,XGBoost,0,0.6385
eye_movements,classification,XGBoost,1,0.6216
eye_movements,classification,XGBoost,2,0.6197
eye_movements,classification,XGBoost,3,0.5925
eye_movements,classification,XGBoost,4,0.6009
eye_movements,classification,MLP,0,0.5915
eye_movements,classification,MLP,1,0.5878
eye_movements,classification,MLP,2,0.5793
eye_movements,classification,MLP,3,0.5681
eye_movements,classification,MLP,4,0.5878
jannis,classification,RandomForest,0,0.7857
jannis,classification,RandomForest,1,0.7679
jannis,classification,RandomForest,2,0.7636
jannis,classification,RandomForest,3,0.7757
jannis,classification,RandomForest,4,0.775
jannis,classification,GBT,0,0.7957
jannis,classification,GBT,1,0.7629
jannis,classification,GBT,2,0.7679
jannis,classification,GBT,3,0.7886
jannis,classification,GBT,4,0.785
jannis,classification,XGBoost,0,0.7864
jannis,classification,XGBoost,1,0.7571
jannis,classification,XGBoost,2,0.7629
jannis,classification,XGBoost,3,0.7821
jannis,classification,XGBoost,4,0.7771
jannis,classification,MLP,0,0.7221
jannis,classification,MLP,1,0.7336
jannis,classification,MLP,2,0.7014
jannis,classification,MLP,3,0.7407
jannis,classification,MLP,4,0.7429
Ailerons,regression,RandomForest,0,0.8132
Ailerons,regression,RandomForest,1,0.837
Ailerons,regression,RandomForest,2,0.8354
Ailerons,regression,RandomForest,3,0.8212
Ailerons,regression,RandomForest,4,0.8411
Ailerons,regression,GBT,0,0.8353
Ailerons,regression,GBT,1,0.8508
Ailerons,regression,GBT,2,0.8449
Ailerons,regression,GBT,3,0.837
Ailerons,regression,GBT,4,0.8584
Ailerons,regression,XGBoost,0,0.814
Ailerons,regression,XGBoost,1,0.8338
Ailerons,regression,XGBoost,2,0.8286
Ailerons,regression,XGBoost,3,0.8252
Ailerons,regression,XGBoost,4,0.8433
Ailerons,regression,MLP,0,0.6686
Ailerons,regression,MLP,1,0.7538
Ailerons,regression,MLP,2,0.7675
Ailerons,regression,MLP,3,0.7865
Ailerons,regression,MLP,4,0.8123
house_sales,regression,RandomForest,0,0.8614
house_sales,regression,RandomForest,1,0.8619
house_sales,regression,RandomForest,2,0.8628
house_sales,regression,RandomForest,3,0.8543
house_sales,regression,RandomForest,4,0.8611
house_sales,regression,GBT,0,0.8734
house_sales,regression,GBT,1,0.8766
house_sales,regression,GBT,2,0.873
house_sales,regression,GBT,3,0.8644
house_sales,regression,GBT,4,0.8666
house_sales,regression,XGBoost,0,0.8774
house_sales,regression,XGBoost,1,0.8751
house_sales,regression,XGBoost,2,0.8802
house_sales,regression,XGBoost,3,0.8659
house_sales,regression,XGBoost,4,0.8712
house_sales,regression,MLP,0,0.8258
house_sales,regression,MLP,1,0.8397
house_sales,regression,MLP,2,0.8405
house_sales,regression,MLP,3,0.8362
house_sales,regression,MLP,4,0.8307
MiamiHousing2016,regression,RandomForest,0,0.9097
MiamiHousing2016,regression,RandomForest,1,0.9159
MiamiHousing2016,regression,RandomForest,2,0.9192
MiamiHousing2016,regression,RandomForest,3,0.9165
MiamiHousing2016,regression,RandomForest,4,0.9155
MiamiHousing2016,regression,GBT,0,0.9214
MiamiHousing2016,regression,GBT,1,0.9213
MiamiHousing2016,regression,GBT,2,0.9226
MiamiHousing2016,regression,GBT,3,0.9208
MiamiHousing2016,regression,GBT,4,0.9223
MiamiHousing2016,regression,XGBoost,0,0.9286
MiamiHousing2016,regression,XGBoost,1,0.9281
MiamiHousing2016,regression,XGBoost,2,0.9305
MiamiHousing2016,regression,XGBoost,3,0.9247
MiamiHousing2016,regression,XGBoost,4,0.9274
MiamiHousing2016,regression,MLP,0,0.8978
MiamiHousing2016,regression,MLP,1,0.9006
MiamiHousing2016,regression,MLP,2,0.9065
MiamiHousing2016,regression,MLP,3,0.9011
MiamiHousing2016,regression,MLP,4,0.8892
superconduct,regression,RandomForest,0,0.9116
superconduct,regression,RandomForest,1,0.9068
superconduct,regression,RandomForest,2,0.9245
superconduct,regression,RandomForest,3,0.8967
superconduct,regression,RandomForest,4,0.886
