dataset,task,model,metric,mean_score,std_score,n_folds
bank_marketing,classification,RandomForest,Accuracy,0.7994,0.0037,5
bank_marketing,classification,GBT,Accuracy,0.8007,0.0039,5
bank_marketing,classification,XGBoost,Accuracy,0.7991,0.0069,5
bank_marketing,classification,MLP,Accuracy,0.7859,0.0085,5
california,regression,RandomForest,R²,0.8172,0.0039,5
california,regression,GBT,R²,0.8367,0.0036,5
california,regression,XGBoost,R²,0.8385,0.0035,5
california,regression,MLP,R²,0.7688,0.0106,5
magic_telescope,classification,RandomForest,Accuracy,0.8493,0.0086,5
magic_telescope,classification,GBT,Accuracy,0.8449,0.0086,5
magic_telescope,classification,XGBoost,Accuracy,0.8493,0.0084,5
magic_telescope,classification,MLP,Accuracy,0.847,0.0112,5
electricity,classification,RandomForest,Accuracy,0.8389,0.0127,5
electricity,classification,GBT,Accuracy,0.8528,0.0116,5
electricity,classification,XGBoost,Accuracy,0.836,0.0062,5
electricity,classification,MLP,Accuracy,0.7886,0.0152,5
house_16H,classification,RandomForest,Accuracy,0.8779,0.0107,5
house_16H,classification,GBT,Accuracy,0.8734,0.006,5
house_16H,classification,XGBoost,Accuracy,0.883,0.0081,5
house_16H,classification,MLP,Accuracy,0.8726,0.0106,5
credit,classification,RandomForest,Accuracy,0.7714,0.0067,5
credit,classification,GBT,Accuracy,0.7757,0.0052,5
credit,classification,XGBoost,Accuracy,0.7743,0.0071,5
credit,classification,MLP,Accuracy,0.7699,0.0069,5
phoneme,classification,RandomForest,Accuracy,0.8649,0.0174,5
phoneme,classification,GBT,Accuracy,0.8649,0.0135,5
phoneme,classification,XGBoost,Accuracy,0.859,0.0082,5
phoneme,classification,MLP,Accuracy,0.8338,0.0187,5
wine,classification,RandomForest,Accuracy,0.8008,0.01,5
wine,classification,GBT,Accuracy,0.7991,0.0061,5
wine,classification,XGBoost,Accuracy,0.7834,0.0149,5
wine,classification,MLP,Accuracy,0.77,0.0131,5
cpu_act,regression,RandomForest,R²,0.983,0.0024,5
cpu_act,regression,GBT,R²,0.982,0.0039,5
cpu_act,regression,XGBoost,R²,0.9857,0.0016,5
cpu_act,regression,MLP,R²,0.9768,0.0033,5
elevators,regression,RandomForest,R²,0.7959,0.0146,5
elevators,regression,GBT,R²,0.8772,0.0073,5
elevators,regression,XGBoost,R²,0.8887,0.005,5
elevators,regression,MLP,R²,0.8937,0.0155,5
wine_quality,regression,RandomForest,R²,0.4781,0.0155,5
wine_quality,regression,GBT,R²,0.4877,0.0138,5
wine_quality,regression,XGBoost,R²,0.4671,0.0259,5
wine_quality,regression,MLP,R²,0.382,0.018,5
diamonds,regression,RandomForest,R²,0.9441,0.0018,5
diamonds,regression,GBT,R²,0.945,0.0016,5
diamonds,regression,XGBoost,R²,0.9453,0.0015,5
diamonds,regression,MLP,R²,0.9409,0.0023,5
isolet,regression,RandomForest,R²,0.8168,0.0111,5
isolet,regression,GBT,R²,0.8086,0.0109,5
isolet,regression,XGBoost,R²,0.846,0.0074,5
isolet,regression,MLP,R²,0.8142,0.0135,5
