dataset,task,model,metric,mean_score,std_score,n_folds
bank_marketing,classification,RandomForest,Accuracy,0.7994,0.0037,5
bank_marketing,classification,GBT,Accuracy,0.8007,0.0039,5
bank_marketing,classification,XGBoost,Accuracy,0.7991,0.0069,5
bank_marketing,classification,MLP,Accuracy,0.7859,0.0085,5
california,regression,RandomForest,R²,0.8172,0.0039,5
california,regression,GBT,R²,0.8367,0.0036,5
california,regression,XGBoost,R²,0.8385,0.0035,5
california,regression,MLP,R²,0.7688,0.0106,5
magic_telescope,classification,RandomForest,Accuracy,0.8493,0.0086,5
magic_telescope,classification,GBT,Accuracy,0.8449,0.0086,5
magic_telescope,classification,XGBoost,Accuracy,0.8493,0.0084,5
magic_telescope,classification,MLP,Accuracy,0.847,0.0112,5
electricity,classification,RandomForest,Accuracy,0.8389,0.0127,5
electricity,classification,GBT,Accuracy,0.8528,0.0116,5
electricity,classification,XGBoost,Accuracy,0.836,0.0062,5
electricity,classification,MLP,Accuracy,0.7886,0.0152,5
house_16H,classification,RandomForest,Accuracy,0.8779,0.0107,5
house_16H,classification,GBT,Accuracy,0.8734,0.006,5
house_16H,classification,XGBoost,Accuracy,0.883,0.0081,5
house_16H,classification,MLP,Accuracy,0.8726,0.0106,5
credit,classification,RandomForest,Accuracy,0.7714,0.0067,5
credit,classification,GBT,Accuracy,0.7757,0.0052,5
credit,classification,XGBoost,Accuracy,0.7743,0.0071,5
credit,classification,MLP,Accuracy,0.7699,0.0069,5
phoneme,classification,RandomForest,Accuracy,0.8649,0.0174,5
phoneme,classification,GBT,Accuracy,0.8649,0.0135,5
phoneme,classification,XGBoost,Accuracy,0.859,0.0082,5
phoneme,classification,MLP,Accuracy,0.8338,0.0187,5
wine,classification,RandomForest,Accuracy,0.8008,0.01,5
wine,classification,GBT,Accuracy,0.7991,0.0061,5
wine,classification,XGBoost,Accuracy,0.7834,0.0149,5
wine,classification,MLP,Accuracy,0.77,0.0131,5
cpu_act,regression,RandomForest,R²,0.983,0.0024,5
cpu_act,regression,GBT,R²,0.982,0.0039,5
cpu_act,regression,XGBoost,R²,0.9857,0.0016,5
cpu_act,regression,MLP,R²,0.9768,0.0033,5
elevators,regression,RandomForest,R²,0.7959,0.0146,5
elevators,regression,GBT,R²,0.8772,0.0073,5
elevators,regression,XGBoost,R²,0.8887,0.005,5
elevators,regression,MLP,R²,0.8937,0.0155,5
wine_quality,regression,RandomForest,R²,0.4781,0.0155,5
wine_quality,regression,GBT,R²,0.4877,0.0138,5
wine_quality,regression,XGBoost,R²,0.4671,0.0259,5
wine_quality,regression,MLP,R²,0.382,0.018,5
diamonds,regression,RandomForest,R²,0.9441,0.0018,5
diamonds,regression,GBT,R²,0.945,0.0016,5
diamonds,regression,XGBoost,R²,0.9453,0.0015,5
diamonds,regression,MLP,R²,0.9409,0.0023,5
isolet,regression,RandomForest,R²,0.8168,0.0111,5
isolet,regression,GBT,R²,0.8086,0.0109,5
isolet,regression,XGBoost,R²,0.846,0.0074,5
isolet,regression,MLP,R²,0.8142,0.0135,5
pol,classification,RandomForest,Accuracy,0.9709,0.0024,5
pol,classification,GBT,Accuracy,0.9821,0.0031,5
pol,classification,XGBoost,Accuracy,0.9824,0.0023,5
pol,classification,MLP,Accuracy,0.9451,0.0052,5
kdd_ipums_la_97-small,classification,RandomForest,Accuracy,0.8764,0.0089,5
kdd_ipums_la_97-small,classification,GBT,Accuracy,0.8893,0.0118,5
kdd_ipums_la_97-small,classification,XGBoost,Accuracy,0.8893,0.0146,5
kdd_ipums_la_97-small,classification,MLP,Accuracy,0.8846,0.0025,5
eye_movements,classification,RandomForest,Accuracy,0.6079,0.0123,5
eye_movements,classification,GBT,Accuracy,0.6487,0.0061,5
eye_movements,classification,XGBoost,Accuracy,0.6146,0.0163,5
eye_movements,classification,MLP,Accuracy,0.5829,0.0084,5
jannis,classification,RandomForest,Accuracy,0.7736,0.0076,5
jannis,classification,GBT,Accuracy,0.78,0.0125,5
jannis,classification,XGBoost,Accuracy,0.7731,0.0113,5
jannis,classification,MLP,Accuracy,0.7281,0.0152,5
Ailerons,regression,RandomForest,R²,0.8296,0.0106,5
Ailerons,regression,GBT,R²,0.8453,0.0086,5
Ailerons,regression,XGBoost,R²,0.829,0.0097,5
Ailerons,regression,MLP,R²,0.7577,0.0487,5
house_sales,regression,RandomForest,R²,0.8603,0.0031,5
house_sales,regression,GBT,R²,0.8708,0.0046,5
house_sales,regression,XGBoost,R²,0.874,0.005,5
house_sales,regression,MLP,R²,0.8346,0.0056,5
MiamiHousing2016,regression,RandomForest,R²,0.9154,0.0031,5
MiamiHousing2016,regression,GBT,R²,0.9217,0.0007,5
MiamiHousing2016,regression,XGBoost,R²,0.9279,0.0019,5
MiamiHousing2016,regression,MLP,R²,0.899,0.0057,5
superconduct,regression,RandomForest,R²,0.9051,0.0131,5
superconduct,regression,GBT,R²,0.9034,0.0146,5
superconduct,regression,XGBoost,R²,0.902,0.0153,5
superconduct,regression,MLP,R²,0.8798,0.0136,5
fifa,regression,RandomForest,R²,0.659,0.0218,5
fifa,regression,GBT,R²,0.6602,0.0179,5
fifa,regression,XGBoost,R²,0.6717,0.0193,5
fifa,regression,MLP,R²,0.648,0.0186,5
Brazilian_houses,regression,RandomForest,R²,0.9854,0.0109,5
Brazilian_houses,regression,GBT,R²,0.9935,0.0055,5
Brazilian_houses,regression,XGBoost,R²,0.9905,0.0047,5
Brazilian_houses,regression,MLP,R²,0.9899,0.0031,5
