dataset,task,model,metric,mean_score,std_score,n_folds
pol,classification,RandomForest,Accuracy,0.9709,0.0024,5
pol,classification,GBT,Accuracy,0.9821,0.0031,5
pol,classification,XGBoost,Accuracy,0.9824,0.0023,5
pol,classification,MLP,Accuracy,0.9451,0.0052,5
kdd_ipums_la_97-small,classification,RandomForest,Accuracy,0.8764,0.0089,5
kdd_ipums_la_97-small,classification,GBT,Accuracy,0.8893,0.0118,5
kdd_ipums_la_97-small,classification,XGBoost,Accuracy,0.8893,0.0146,5
kdd_ipums_la_97-small,classification,MLP,Accuracy,0.8846,0.0025,5
eye_movements,classification,RandomForest,Accuracy,0.6079,0.0123,5
eye_movements,classification,GBT,Accuracy,0.6487,0.0061,5
eye_movements,classification,XGBoost,Accuracy,0.6146,0.0163,5
eye_movements,classification,MLP,Accuracy,0.5829,0.0084,5
jannis,classification,RandomForest,Accuracy,0.7736,0.0076,5
jannis,classification,GBT,Accuracy,0.78,0.0125,5
jannis,classification,XGBoost,Accuracy,0.7731,0.0113,5
jannis,classification,MLP,Accuracy,0.7281,0.0152,5
Ailerons,regression,RandomForest,R²,0.8296,0.0106,5
Ailerons,regression,GBT,R²,0.8453,0.0086,5
Ailerons,regression,XGBoost,R²,0.829,0.0097,5
Ailerons,regression,MLP,R²,0.7577,0.0487,5
house_sales,regression,RandomForest,R²,0.8603,0.0031,5
house_sales,regression,GBT,R²,0.8708,0.0046,5
house_sales,regression,XGBoost,R²,0.874,0.005,5
house_sales,regression,MLP,R²,0.8346,0.0056,5
MiamiHousing2016,regression,RandomForest,R²,0.9154,0.0031,5
MiamiHousing2016,regression,GBT,R²,0.9217,0.0007,5
MiamiHousing2016,regression,XGBoost,R²,0.9279,0.0019,5
MiamiHousing2016,regression,MLP,R²,0.899,0.0057,5
superconduct,regression,RandomForest,R²,0.9051,0.0131,5
superconduct,regression,GBT,R²,0.9034,0.0146,5
superconduct,regression,XGBoost,R²,0.902,0.0153,5
superconduct,regression,MLP,R²,0.8798,0.0136,5
fifa,regression,RandomForest,R²,0.659,0.0218,5
fifa,regression,GBT,R²,0.6602,0.0179,5
fifa,regression,XGBoost,R²,0.6717,0.0193,5
fifa,regression,MLP,R²,0.648,0.0186,5
Brazilian_houses,regression,RandomForest,R²,0.9854,0.0109,5
Brazilian_houses,regression,GBT,R²,0.9935,0.0055,5
Brazilian_houses,regression,XGBoost,R²,0.9905,0.0047,5
Brazilian_houses,regression,MLP,R²,0.9899,0.0031,5
