dataset,task,model,metric,val_score,test_score,best_params,n_iter,time_s
pol,classification,RandomForest,Accuracy,0.9833,0.967,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 1638}",50,50.25
pol,classification,GBT,Accuracy,0.9867,0.982,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.34018040342802963, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_leaf_nodes"": 10, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 563, ""subsample"": 0.8390626846869489}",50,54.94
pol,classification,XGBoost,Accuracy,0.9833,0.9807,"{""colsample_bylevel"": 0.9620692180880729, ""colsample_bytree"": 0.8586507865768859, ""gamma"": 0.009665432377729832, ""learning_rate"": 0.3916704418063828, ""max_depth"": 10, ""min_child_weight"": 2, ""n_estimators"": 5500, ""reg_alpha"": 4.592622170565641, ""reg_lambda"": 1.808719522137397, ""subsample"": 0.9806564503600304}",50,27.75
pol,classification,MLP,Accuracy,0.9489,0.948,"{""batch_size"": 256, ""hidden_layer_sizes"": [907], ""learning_rate_init"": 0.007528926501884327}",50,3418.7
kdd_ipums_la_97-small,classification,RandomForest,Accuracy,0.9036,0.8773,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,34.41
kdd_ipums_la_97-small,classification,GBT,Accuracy,0.9015,0.8863,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,57.89
kdd_ipums_la_97-small,classification,XGBoost,Accuracy,0.8972,0.8895,"{""colsample_bylevel"": 0.7489105135939351, ""colsample_bytree"": 0.9352895019597379, ""gamma"": 3.0409901086500483e-05, ""learning_rate"": 0.0010246875722977693, ""max_depth"": 7, ""min_child_weight"": 2, ""n_estimators"": 5700, ""reg_alpha"": 2.4936230515465887e-08, ""reg_lambda"": 2.1471729919779654, ""subsample"": 0.5782464468722259}",50,19.86
kdd_ipums_la_97-small,classification,MLP,Accuracy,0.8994,0.8838,"{""batch_size"": 512, ""hidden_layer_sizes"": [818, 818, 818, 818, 818, 818, 818], ""learning_rate_init"": 0.00039071169241368576}",50,1043.42
eye_movements,classification,RandomForest,Accuracy,0.6263,0.6137,"{""bootstrap"": true, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.1, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 52}",50,196.12
eye_movements,classification,GBT,Accuracy,0.6365,0.6636,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.06001615407984377, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 376, ""subsample"": 0.9779273067146744}",50,112.06
